0 [7, 1, 3, 4, 5, 6, 8, 0, 2, 10, 11, 12, 13, 14, 15, 9, 17, 18, 19, 20, 21, 16, 22, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
g [7, 1, 3, 4, 5, 6, 0, 8, 2, 10, 11, 12, 13, 14, 15, 9, 17, 18, 19, 20, 21, 16, 22, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
a [0, 1, 3, 4, 5, 6, 7, 8, 2, 10, 11, 12, 13, 14, 15, 9, 17, 18, 19, 20, 21, 16, 22, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
b [1, 0, 3, 4, 5, 6, 7, 8, 2, 10, 11, 12, 13, 14, 15, 9, 17, 18, 19, 20, 21, 16, 22, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
i [1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 13, 14, 15, 9, 17, 18, 19, 20, 21, 16, 22, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
p [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0, 17, 18, 19, 20, 21, 16, 22, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
v [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 0, 22, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
w [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 0, 24, 25, 26, 27, 28, 23, 30, 31, 32, 33, 34, 35, 29]
} [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 0, 30, 31, 32, 33, 34, 35, 29]
„ [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 0]
